Family;Part Number;Description
C3850;WS-C3850-24T-E-BR;Cisco Catalyst 3850 24 Port Data IP Services
C3850;WS-C3850-24T-L-BR;Cisco Catalyst 3850 24 Port Data LAN Base
C3850;WS-C3850-24T-S-BR;Cisco Catalyst 3850 24 Port Data IP Base
C3850;WS-C3850-48F-E-BR;Cisco Catalyst 3850 48 Port Full PoE IP Services
UCSC;C880-40GCNA-BW;C880-40GCNA-BW
UCSC;UCS-CPU-E52620DC=;UCS-CPU-E52620DC=
N3000;N3K-C3064PQ;#N/A
AIR1850;AIR-AP1852I-Z-K9C;Aironet 1850 Series with Mobility Express
AIR2700;AIRCAP2702I-ZK9BR=;"802.11ac AP w/CleanAir; 3x4:3SS; Int Ant;"
ASR9000;ASR-9922;ASR 9922 20 Line Card Slot Chassis
AIR1830;AIR-AP1832I-Z-K9;"802.11ac Wave 2; 3x3:2SS; Int Ant; Z Reg Domain"
AIR1830;AIR-AP1832I-Z-K9C;Cisco Aironet 1830 Series with Mobility Express
AIR1850;AIR-AP1852E-Z-K9;"802.11ac Wave 2; 4x4:4SS; Ext Ant; Z Reg Dom"
AIR1850;AIR-AP1852E-Z-K9C;Aironet 1850 Series with Mobility Express
AIR1850;AIR-AP1852I-Z-K9;"802.11ac Wave 2; 4x4:4SS; Int Ant; Z Reg Dom"
N5K;N5K-C5548UP-B-S32;N5548UP Storage Solutions Bundle, 32 port storage serv Licen
N5K;N5K-C5548UP-FA;Nexus 5548 UP Chassis, 32 10GbE Ports, 2 PS, 2 Fans
N5K;N5K-C5596UP-FA;Nexus 5596UP 2RU Chassis, 2PS, 4 Fans, 48 Fixed 10GE Ports
N5K;N5K-C56128P;Nexus 56128P 2RU Chassis, 48x10G SFP+, 4x40G QSFP+
N5K;N5K-C5624Q;Nexus 5624Q VXLAN 1RU Chassis, 12x40G QSFP+
N5000;C1-N5K-C5672UP;Cisco OneNexus5672UP 1RU,32x10G SFP+,16pxUP SFP+,6x40G QSFP+
N5000;C1-N5K-C56128P;Cisco One Nexus 56128P 2RU Chassis,48x10G SFP+,4x40G QSFP+
N9300;N9K-C9372PX;#N/A
N9300;N9K-C9372PX-E;Nexus 9300 with 48p 10G SFP+ and 6p 40G QSFP+
